Celebi,251,251,0,Psychic,Grass,No Eggs,No Eggs,Natural Cure,Natural Cure,Natural Cure,100,100,100,100,100,100,1,Heal Bell,1,Confusion,1,Leech Seed,1,Recover,6,Safeguard,10,Magical Leaf,14,Ancient Power,18,Baton Pass,30,Psychic,34,Future Sight,38,Nasty Plot,40,Life Dew,42,Healing Wish,46,Perish Song,50,Leaf Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Calm Mind,Toxic,Sunny Day,Hyper Beam,Light Screen,Protect,Rain Dance,Giga Drain,Safeguard,Dream Eater,Solar Beam,Psychic,Shadow Ball,Double Team,Reflect,Shock Wave,Sandstorm,Aerial Ace,Skill Swap,Energy Ball,Fling,Wild Charge,Nasty Plot,Giga Impact,Flash,Thunder Wave,Swords Dance,Stealth Rock,Psych Up,Dazzling Gleam,Grass Knot,U-turn,Trick Room,Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Ally Switch,Worry Seed,Mud-Slap,Dual Wingbeat,Laser Focus,Heal Bell,Uproar,Signal Beam,Synthesis,Ancient Power,Magic Room,Wonder Room,Zen Headbutt,Seed Bomb,Magic Coat,Swift,Trick,Sucker Punch,Last Resort,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treecko,252,252,0,Grass,,Monster,Dragon,Unburden,Technician,Suction Cups,40,45,35,65,55,70,1,Leer,1,Pound,3,Leafage,5,Absorb,8,Quick Attack,11,Mega Drain,14,Dragon Breath,15,Quick Guard,17,Agility,18,Assurance,20,Giga Drain,23,Slam,27,Double Team,29,Detect,32,Energy Ball,35,Crunch,38,Screech,41,Endeavor,44,Leaf Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Bullet Seed,Hidden Power,Sunny Day,Protect,Giga Drain,Safeguard,Solar Beam,Iron Tail,Dig,Brick Break,Double Team,Rock Tomb,Aerial Ace,Attract,Energy Ball,False Swipe,Fling,Drain Punch,Flash,Swords Dance,Rock Slide,Grass Knot,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absorb,Slash,Night Slash,Double Kick,Dragon Breath,Leech Seed,Worry Seed,Synthesis,Crunch,Endeavor,Crush Claw,Magical Leaf,Leaf Storm,Grassy Terrain,Grass Whistle,Razor Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Worry Seed,Mud-Slap,Fury Cutter,Synthesis,Thunder Punch,Seismic Toss,Seed Bomb,Swift,Low Kick,Power-Up Punch,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grovyle,253,253,0,Grass,,Monster,Dragon,Unburden,Technician,Suction Cups,50,65,45,85,65,95,1,Leafage,1,Leer,1,Pound,5,Absorb,8,Quick Attack,11,Mega Drain,14,Dragon Breath,15,Quick Guard,16,Fury Cutter,18,Agility,20,Assurance,22,Giga Drain,26,Slam,30,Leaf Blade,34,Detect,35,Double Team,38,Energy Ball,40,Crunch,42,X-Scissor,46,Screech,50,Endeavor,54,Leaf Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Bullet Seed,Hidden Power,Sunny Day,Protect,Giga Drain,Safeguard,Solar Beam,Iron Tail,Low Sweep,Dig,Brick Break,Double Team,Rock Tomb,Aerial Ace,Attract,Energy Ball,False Swipe,Fling,Drain Punch,Flash,Swords Dance,Rock Slide,X-Scissor,Grass Knot,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absorb,Slash,Night Slash,Double Kick,Dragon Breath,Leech Seed,Worry Seed,Synthesis,Crunch,Endeavor,Crush Claw,Magical Leaf,Leaf Storm,Grassy Terrain,Grass Whistle,Razor Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Worry Seed,Mud-Slap,Fury Cutter,Synthesis,Thunder Punch,Seismic Toss,Seed Bomb,Swift,Low Kick,Power-Up Punch,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceptile,254,254,0,Grass,Dragon,Monster,Dragon,Unburden,Technician,Lightning Rod,70,95,65,105,80,120,1,Dual Chop,1,Leafage,1,Leer,1,Pound,1,Night Slash,1,Outrage,5,Absorb,8,Quick Attack,11,Mega Drain,14,Dragon Breath,15,Quick Guard,16,Fury Cutter,18,Agility,20,Assurance,22,Giga Drain,26,Slam,30,Leaf Blade,34,Detect,35,Double Team,36,Dragon Pulse,39,Energy Ball,42,Crunch,44,X-Scissor,49,Screech,54,Endeavor,59,Leaf Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Roar,Toxic,Bullet Seed,Hidden Power,Sunny Day,Hyper Beam,Protect,Giga Drain,Safeguard,Solar Beam,Iron Tail,Thunderbolt,Thunder,Earthquake,Low Sweep,Dig,Brick Break,Double Team,Rock Tomb,Aerial Ace,Attract,Focus Blast,Energy Ball,False Swipe,Fling,Dragon Pulse,Drain Punch,Giga Impact,Flash,Swords Dance,Rock Slide,X-Scissor,Hyper Voice,Grass Knot,Cut,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absorb,Slash,Night Slash,Double Kick,Dragon Breath,Leech Seed,Worry Seed,Synthesis,Crunch,Endeavor,Crush Claw,Magical Leaf,Leaf Storm,Grassy Terrain,Grass Whistle,Razor Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Worry Seed,Mud-Slap,Laser Focus,Fury Cutter,Synthesis,Thunder Punch,Seismic Toss,Seed Bomb,Swift,Low Kick,Dual Chop,Power-Up Punch,Draco Meteor,Endeavor,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torchic,255,255,0,Fire,,Field,Field,Speed Boost,Blaze,Keen Eye,45,60,40,70,50,45,1,Growl,1,Scratch,5,Ember,8,Sand Attack,9,Flame Charge,11,Peck,12,Detect,14,Fire Spin,17,Quick Attack,18,Aerial Ace,20,Baton Pass,23,Focus Energy,26,Feather Dance,29,Flamethrower,32,Slash,32,Night Slash,35,Bounce,36,Reversal,38,Last Resort,41,Flare Blitz,44,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Hidden Power,Sunny Day,Protect,Dig,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Attract,Overheat,Will-O-Wisp,Shadow Claw,Swords Dance,Rock Slide,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peck,Crush Claw,Curse,Counter,Feint,Last Resort,Night Slash,Reversal,Baton Pass,Agility,Feather Dance,Low Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Seismic Toss,Bounce,Swift,Low Kick,Heat Wave,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combusken,256,256,0,Fire,Fighting,Field,Field,Speed Boost,Blaze,Keen Eye,60,85,60,85,60,55,16,Double Kick,1,Growl,1,Scratch,1,Feather Dance,5,Ember,8,Sand Attack,9,Flame Charge,11,Peck,12,Detect,14,Bulk Up,18,Quick Attack,20,Aerial Ace,22,Fire Punch,26,Focus Energy,30,Sky Uppercut,34,Flamethrower,38,Slash,38,Night Slash,40,Blaze Kick,42,Bounce,46,Superpower,50,Reversal,54,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Toxic,Bulk Up,Hidden Power,Sunny Day,Protect,Low Sweep,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Attract,Overheat,Focus Blast,Fling,Will-O-Wisp,Shadow Claw,Swords Dance,Rock Slide,Poison Jab,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peck,Crush Claw,Curse,Counter,Feint,Last Resort,Night Slash,Reversal,Baton Pass,Agility,Feather Dance,Low Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Fury Cutter,Fire Punch,Thunder Punch,Seismic Toss,Bounce,Swift,Low Kick,Dual Chop,Vacuum Wave,Power-Up Punch,Heat Wave,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaziken,257,257,0,Fire,Fighting,Field,Field,Speed Boost,Blaze,Reckless,80,120,75,110,70,80,1,Growl,1,Scratch,1,Feather Dance,1,Close Combat,1,High Jump Kick,1,Thunder Punch,5,Ember,8,Sand Attack,9,Flame Charge,11,Peck,12,Detect,14,Bulk Up,16,Double Kick,18,Quick Attack,20,Aerial Ace,22,Fire Punch,26,Focus Energy,30,Sky Uppercut,34,Flamethrower,36,Blaze Kick,39,Slash,39,Night Slash,44,Bounce,49,Superpower,54,Brave Bird,56,Reversal,59,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Roar,Toxic,Bulk Up,Hidden Power,Sunny Day,Hyper Beam,Protect,Solar Beam,Earthquake,Low Sweep,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Attract,Overheat,Focus Blast,Fling,Will-O-Wisp,Shadow Claw,Giga Impact,Stone Edge,Swords Dance,Rock Slide,Hyper Voice,Poison Jab,U-turn,Cut,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peck,Crush Claw,Curse,Counter,Feint,Last Resort,Night Slash,Reversal,Baton Pass,Agility,Feather Dance,Low Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Mud-Slap,Laser Focus,Fury Cutter,Fire Punch,Thunder Punch,Seismic Toss,Bounce,Role Play,Swift,Low Kick,Dual Chop,Scorching Sands,Vacuum Wave,Power-Up Punch,Heat Wave,Superpower,Knock Off,Last Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudkip,258,258,0,Water,,Monster,Water 1,Torrent,Damp,Swift Swim,50,70,50,50,50,40,1,Growl,1,Tackle,5,Water Gun,6,Rock Smash,8,Mud-Slap,15,Supersonic,18,Water Pulse,20,Rock Throw,21,Rock Slide,23,Aqua Tail,26,Protect,27,Amnesia,29,Take Down,30,Surf,32,Earth Power,33,Screech,35,Whirlpool,38,Mirror Coat,41,Hydro Pump,44,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Hail,Hidden Power,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Dig,Double Team,Rock Tomb,Attract,Brine,Avalanche,Rock Slide,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mud-Slap,Bite,Ancient Power,Counter,Curse,Double-Edge,Mirror Coat,Sludge,Stomp,Wide Guard,Yawn,Uproar,Whirlpool,Mud Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Rollout,Mud-Slap,Uproar,Ancient Power,Dive,Low Kick,Aqua Tail,Icy Wind,Superpower,Endeavor,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshtomp,259,259,0,Water,Ground,Monster,Water 1,Torrent,Damp,Swift Swim,70,85,70,60,70,50,1,Mud Shot,5,Water Gun,1,Growl,1,Tackle,8,Mud-Slap,9,Rock Throw,15,Supersonic,16,Bulldoze,20,Water Pulse,22,Rock Slide,22,Mud Bomb,26,Aqua Tail,30,Protect,34,Take Down,35,Amnesia,38,Earthquake,42,Muddy Water,45,Screech,46,Mirror Coat,50,Hydro Pump,54,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Toxic,Hail,Hidden Power,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Rock Tomb,Attract,Brine,Fling,Avalanche,Stealth Rock,Rock Slide,Hyper Voice,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mud-Slap,Bite,Ancient Power,Counter,Curse,Double-Edge,Mirror Coat,Sludge,Stomp,Wide Guard,Yawn,Uproar,Whirlpool,Mud Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Rollout,Mud-Slap,Uproar,Ancient Power,Ice Punch,Seismic Toss,Dive,Low Kick,Aqua Tail,Power-Up Punch,Icy Wind,Superpower,Endeavor,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swampert,260,260,0,Water,Ground,Monster,Water 1,Torrent,Damp,Swift Swim,100,110,90,85,90,60,5,Water Gun,1,Growl,1,Tackle,36,Hammer Arm,1,Mud Shot,1,Curse,8,Mud-Slap,9,Rock Throw,15,Supersonic,16,Bulldoze,20,Water Pulse,22,Rock Slide,22,Mud Bomb,26,Aqua Tail,30,Protect,34,Take Down,35,Amnesia,39,Earthquake,44,Muddy Water,49,Mirror Coat,49,Screech,54,Hydro Pump,59,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Roar,Toxic,Hail,Bulk Up,Hidden Power,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Rock Tomb,Attract,Brine,Focus Blast,Fling,Giga Impact,Stone Edge,Avalanche,Stealth Rock,Rock Slide,Hyper Voice,Surf,Strength,Rock Smash,Waterfall,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mud-Slap,Bite,Ancient Power,Counter,Curse,Double-Edge,Mirror Coat,Sludge,Stomp,Wide Guard,Yawn,Uproar,Whirlpool,Mud Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bulldoze,Rollout,Mud-Slap,Uproar,Stomping Tantrum,Ancient Power,Ice Punch,Seismic Toss,Dive,Low Kick,Aqua Tail,Power-Up Punch,Icy Wind,Superpower,Endeavor,Outrage,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poochyena,261,261,0,Dark,,Field,Field,Run Away,Strong Jaw,Rattled,35,75,35,30,30,65,1,Tackle,1,Howl,1,Sand Attack,7,Bite,13,Mud-Slap,13,Assurance,16,Roar,19,Swagger,22,Crunch,25,Scary Face,28,Headbutt,28,Embargo,31,Taunt,34,Yawn,37,Take Down,40,Play Rough,43,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Sunny Day,Taunt,Protect,Rain Dance,Iron Tail,Dig,Shadow Ball,Double Team,Torment,Attract,Thief,Nasty Plot,Payback,Snarl,Dark Pulse,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astonish,Poison Fang,Covet,Leer,Yawn,Sucker Punch,Ice Fang,Fire Fang,Thunder Fang,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Covet,Mud-Slap,Spite,Uproar,Sucker Punch,Foul Play,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mightyena,262,262,0,Dark,,Field,Field,Intimidate,Strong Jaw,Moxie,70,110,70,60,60,100,1,Snarl,1,Sand Attack,1,Howl,1,Tackle,1,Fire Fang,1,Ice Fang,1,Thunder Fang,1,Poison Fang,51,Sucker Punch,7,Bite,13,Mud-Slap,13,Assurance,16,Roar,19,Swagger,23,Crunch,27,Scary Face,32,Headbutt,32,Embargo,35,Taunt,39,Yawn,43,Take Down,47,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Sunny Day,Taunt,Hyper Beam,Protect,Rain Dance,Iron Tail,Dig,Shadow Ball,Double Team,Torment,Attract,Thief,Nasty Plot,Payback,Giga Impact,Snarl,Dark Pulse,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astonish,Poison Fang,Covet,Leer,Yawn,Sucker Punch,Ice Fang,Fire Fang,Thunder Fang,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Covet,Mud-Slap,Laser Focus,Spite,Uproar,Sucker Punch,Foul Play,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zigzagoon,263,263,0,Normal,,Field,Field,Pickup,Gluttony,Quick Feet,38,40,41,30,41,60,1,Growl,1,Tackle,1,Tail Whip,1,Sand Attack,7,Covet,13,Headbutt,15,Baby-Doll Eyes,16,Pin Missile,22,Flail,25,Take Down,28,Rest,31,Double-Edge,34,Belly Drum,37,Fling,40,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Toxic,Hidden Power,Sunny Day,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Shadow Ball,Double Team,Shock Wave,Rest,Attract,Thief,False Swipe,Fling,Wild Charge,Thunder Wave,Grass Knot,U-turn,Cut,Surf,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tickle,Simple Beam,Extreme Speed,Charm,Trick,Helping Hand,Mud-Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Rollout,Mud-Slap,Fury Cutter,Seed Bomb,Swift,Trick,Icy Wind,Last Resort,Super Fang,Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linoone,264,264,0,Normal,,Field,Field,Pickup,Gluttony,Quick Feet,85,85,70,50,70,110,23,Slash,1,Tail Whip,1,Sand Attack,1,Growl,1,Tackle,1,Baby-Doll Eyes,1,Pin Missile,1,Switcheroo,1,Play Rough,7,Covet,13,Headbutt,15,Hone Claws,16,Fury Swipes,27,Take Down,31,Rest,35,Double-Edge,38,Flail,39,Belly Drum,43,Fling,47,Super Fang,51,Extreme Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pulse,Roar,Toxic,Hidden Power,Sunny Day,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Iron Tail,Thunderbolt,Thunder,Dig,Shadow Ball,Double Team,Shock Wave,Rest,Attract,Thief,False Swipe,Fling,Wild Charge,Shadow Claw,Giga Impact,Thunder Wave,Grass Knot,U-turn,Cut,Surf,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tickle,Simple Beam,Extreme Speed,Charm,Trick,Helping Hand,Mud-Slap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Covet,Rollout,Mud-Slap,Fury Cutter,Stomping Tantrum,Seed Bomb,Swift,Trick,Icy Wind,Superpower,Knock Off,Last Resort,Foul Play,Super Fang,Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurmple,265,265,0,Bug,,Bug,Bug,Shield Dust,Run Away,Compound Eyes,45,45,35,20,30,20,1,String Shot,1,Tackle,1,Poison Sting,1,Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electroweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silcoon,266,266,0,Bug,,Bug,Bug,Shed Skin,Shed Skin,Shed Skin,50,35,55,25,25,15,7,Harden,7,Iron Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electroweb,Iron Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautifly,267,267,0,Bug,Flying,Bug,Bug,Swarm,Merciless,Competitive,60,70,60,125,60,75,10,Gust,1,Bug Bite,1,Poison Sting,1,Harden,1,String Shot,1,Tackle,11,Absorb,13,Stun Spore,18,Mega Drain,18,Silver Wind,21,Air Cutter,24,Morning Sun,25,Leech Life,27,Bug Buzz,30,Attract,33,Giga Drain,36,Air Slash,37,Protect,40,Quiver Dance,42,Whirlwind,45,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Hyper Beam,Protect,Giga Drain,Safeguard,Dream Eater,Solar Beam,Psychic,Shadow Ball,Double Team,Aerial Ace,Attract,Thief,Roost,Energy Ball,Endure,Bug Buzz,Giga Impact,Flash,Hurricane,U-turn,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Electroweb,Dual Wingbeat,Laser Focus,Signal Beam,Ominous Wind,Iron Defense,Tailwind,Swift,Leech Life,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
